# Date Created: 21-Feb-2023 (10:40:05),,,,
Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
25.3,-30.1,999,-31.3,-30.8
30.3,-30.1,999,-31.3,-30.8
35.3,-30.1,999,-31.3,-30.8
40.3,-30.1,999,-31.3,-30.9
45.3,-30.2,999,-31.3,-30.9
50.3,-30.2,999,-31.3,-30.9
55.4,-30.2,999,-31.4,-30.9
60.4,-30.2,999,-31.4,-31
65.4,-30.3,999,-31.5,-31
70.4,-30.3,999,-31.5,-31
75.4,-30.4,999,-31.5,-31.1
80.4,-30.4,999,-31.5,-31.1
85.4,-30.5,999,-31.6,-31.1
0,-30.5,999,-31.6,-31.2
5.1,-30.5,999,-31.6,-31.2
10.1,-30.5,999,-31.6,-31.2
15.1,-30.6,999,-31.6,-31.2
20.1,-30.6,999,-31.7,-31.3
25.1,-30.6,999,-31.7,-31.3
30.2,-30.6,999,-31.7,-31.3
35.1,-30.7,999,-31.7,-31.4
40.2,-30.7,999,-31.8,-31.4
45.2,-30.7,999,-31.8,-31.4
50.2,-30.7,999,-31.8,-31.4
55.2,-30.8,999,-31.8,-31.5
60.2,-30.8,999,-31.9,-31.4
65.3,-30.8,999,-31.9,-31.5
70.3,-30.9,999,-31.9,-31.5
75.3,-30.9,999,-31.9,-31.5
80.3,-30.9,999,-31.9,-31.5
85.3,-30.9,999,-31.9,-31.5
90.3,-30.9,999,-31.9,-31.6
95.3,-30.9,999,-31.9,-31.5
100.3,-30.9,999,-31.9,-31.6
105.4,-31,999,-32,-31.6
110.4,-31,999,-32,-31.6
115.4,-31,999,-32,-31.6
120.4,-31,999,-32,-31.6
125.4,-31,999,-32,-31.7
130.4,-31,999,-32,-31.7
135.4,-31.1,999,-32,-31.7
140.5,-31.1,999,-32,-31.7
145.5,-31.1,999,-32,-31.7
150.5,-31,999,-32,-31.6
155.5,-31,999,-32,-31.7
160.5,-31,999,-32,-31.6
165.5,-31,999,-31.9,-31.7
170.5,-31,999,-31.9,-31.5
175.6,-31,999,-31.9,-31.6
180.6,-31,999,-31.8,-31.5
185.6,-30.9,999,-31.7,-31.4
190.6,-30.8,999,-31.6,-31.4
195.6,-30.7,999,-31.5,-31.3
200.6,-30.6,999,-31.3,-31.1
205.6,-30.4,999,-31.1,-31
210.6,-30.2,999,-30.8,-30.7
215.7,-29.8,999,-30.5,-30.1
220.7,-29.5,999,-29.9,-29.8
225.7,-29.3,999,-29.5,-29.4
230.7,-28.9,999,-29.2,-29.2
235.7,-28.5,999,-28.8,-28.8
240.7,-28.1,999,-28.5,-28.4
245.8,-27.8,999,-28,-28.1
250.8,-27.4,999,-27.7,-27.7
255.8,-26.8,999,-27.3,-27.4
260.8,-26.4,999,-27.1,-27
265.8,-26.2,999,-26.7,-26.7
270.8,-26,999,-26.4,-26.3
275.8,-25.7,999,-26.2,-25.8
280.8,-25.6,999,-26,-25.6
285.8,-25.3,999,-25.6,-25.5
290.9,-25.2,999,-25.4,-25.3
295.8,-25,999,-25.3,-25.1
300.9,-24.9,999,-25.2,-25
305.9,-24.8,999,-25,-25
310.9,-24.7,999,-25,-24.8
315.9,-24.6,999,-24.9,-24.7
320.9,-24.5,999,-24.9,-24.6
325.9,-24.5,999,-24.7,-24.6
331,-24.4,999,-24.7,-24.5
336,-24.4,999,-24.7,-24.4
341,-24.4,999,-24.6,-24.4
346,-24.3,999,-24.6,-24.3
351,-24.3,999,-24.6,-24.3
356,-24.3,999,-24.6,-24.3
0.2,-34.2,999,-34.6,-34.1
5.3,-34.2,999,-34.4,-34.1
10.3,-34.2,999,-34.4,-34.1
15.3,-34.3,999,-34.4,-34.2
20.3,-34.3,999,-34.7,-34.2
25.3,-34.3,999,-34.7,-34.2
30.3,-34.3,999,-34.7,-34.2
35.3,-34.3,999,-34.7,-34.2
40.4,-34.3,999,-34.7,-34.2
45.4,-34.4,999,-34.7,-34.2
50.4,-34.5,999,-34.5,-34.2
55.4,-34.4,999,-34.8,-34.3
60.4,-34.5,999,-34.8,-34.3
65.4,-34.5,999,-34.6,-34.3
70.5,-34.5,999,-34.6,-34.3
75.5,-34.5,999,-34.8,-34.3
80.5,-34.5,999,-34.8,-34.3
85.5,-34.5,999,-34.8,-34.4
90.5,-34.5,999,-34.8,-34.4
95.5,-34.5,999,-34.9,-34.4
100.5,-34.6,999,-34.8,-34.5
105.6,-34.6,999,-34.9,-34.5
110.6,-34.6,999,-34.9,-34.4
115.6,-34.6,999,-34.9,-34.4
120.6,-34.6,999,-34.9,-34.5
125.6,-34.6,999,-34.9,-34.5
130.7,-34.6,999,-34.9,-34.5
