;
;  Proficy Historian SDK Data Export 
;  Generated: 02/17/2023 05:37:07 PM
;  Start Time: 02/16/2023 11:30:00 AM
;  End Time: 02/17/2023 12:30:00 AM
;  Interval: 60000 milliseconds
;  Records Returned: 780
;
Timestamp, SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
02/16/2023 12:44:00, -81.6, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:45:00, -81.7, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:46:00, -81.8, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:47:00, -81.8, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6.0
02/16/2023 12:48:00, -81.9, -15, -15, -15, 0, 0, 2100, 485, 1047, 2100, -6.0
02/16/2023 12:49:00, -81.9, -15, -15, -15, 0, 0, 2100, 486, 1047, 2100, -6
02/16/2023 12:50:00, -81.9, -15, -15, -15, 0, 0, 2100, 485, 1047, 2100, -6
02/16/2023 12:51:00, -81.9, -15, -15, -15, 0, 0, 2100, 485, 1047, 2100, -6
02/16/2023 12:52:00, -82, -15, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6
02/16/2023 12:53:00, -82, -15, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6.0
02/16/2023 12:54:00, -82, -15, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6.0
02/16/2023 12:55:00, -82, -15.1, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6.0
02/16/2023 12:56:00, -82, -15, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6.0
02/16/2023 12:57:00, -82.1, -15, -15, -15, 0, 0, 2100, 483, 1047, 2100, -6.0
02/16/2023 12:58:00, -82, -15.1, -15, -15, 0, 0, 2100, 483, 1047, 2100, -6.0
02/16/2023 12:59:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6.0
02/16/2023 13:00:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6.0
02/16/2023 13:01:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 484, 1047, 2100, -6.0
02/16/2023 13:02:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 483, 1047, 2100, -6.0
02/16/2023 13:03:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 483, 1047, 2100, -6.0
02/16/2023 13:04:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 483, 1047, 2100, -6.0
02/16/2023 13:05:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 483, 1047, 2100, -6.1
02/16/2023 13:06:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.1
02/16/2023 13:07:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.0
02/16/2023 13:08:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.1
02/16/2023 13:09:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.1
02/16/2023 13:10:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.1
02/16/2023 13:11:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.1
02/16/2023 13:12:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.1
02/16/2023 13:13:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 481, 1047, 2100, -6.1
02/16/2023 13:14:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 481, 1047, 2100, -6.1
02/16/2023 13:15:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 481, 1047, 2100, -6.1
02/16/2023 13:16:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 482, 1047, 2100, -6.1
02/16/2023 13:17:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 481, 1047, 2100, -6.1
02/16/2023 13:18:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 481, 1047, 2100, -6.1
02/16/2023 13:19:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 481, 1047, 2100, -6.1
02/16/2023 13:20:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 480, 1047, 2100, -6.1
02/16/2023 13:21:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 480, 1047, 2100, -6.1
02/16/2023 13:22:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 480, 1047, 2100, -6.1
02/16/2023 13:23:00, -82.2, -15.1, -15, -15, 0, 0, 2100, 480, 1047, 2100, -6.1
02/16/2023 13:24:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 480, 1047, 2100, -6.1
02/16/2023 13:25:00, -82.1, -15.1, -15, -15, 0, 0, 2100, 479, 1047, 2100, -6.1
02/16/2023 13:26:00, -81.9, -15.1, -15.2, -15.5, 0, 0, 2100, 479, 1047, 2100, -6.1
02/16/2023 13:27:00, -81.6, -15.4, -15.7, -16, 0, 0, 2100, 480, 1047, 2100, -6.1
02/16/2023 13:28:00, -81.3, -15.9, -16.2, -16.5, 0, 0, 2100, 479, 1047, 2100, -6.1
02/16/2023 13:29:00, -81, -16.4, -16.8, -17, 0, 0, 2100, 479, 1047, 2100, -6.1
02/16/2023 13:30:00, -80.7, -16.9, -17.3, -17.5, 0, 0, 2100, 478, 1047, 2100, -6.1
02/16/2023 13:31:00, -80.5, -17.4, -18, -18, 0, 0, 2100, 478, 1047, 2100, -6.1
02/16/2023 13:32:00, -80.3, -17.9, -18.5, -18.5, 0, 0, 2100, 477, 1047, 2100, -6.1
02/16/2023 13:33:00, -80.2, -18.5, -19, -19, 0, 0, 2100, 477, 1047, 2100, -6.2
02/16/2023 13:34:00, -80.1, -19, -19.5, -19.5, 0, 0, 2100, 477, 1047, 2100, -6.2
02/16/2023 13:35:00, -80, -19.5, -20, -20, 0, 0, 2100, 476, 1047, 2100, -6.2
02/16/2023 13:36:00, -79.9, -20, -20.5, -20.5, 0, 0, 2100, 476, 1047, 2100, -6.2
02/16/2023 13:37:00, -79.8, -20.5, -21, -21, 0, 0, 2100, 476, 1047, 2100, -6.2
